Movie_ID,Title,Weighted_Rating,Director(s),Cast,Genres
1826,Banaras,5.837141435430191,['Pankaj Parashar'],"['Urmila Matondkar', 'Ashmit Patel', 'Dimple Kapadia']","['Musical, Drama']"
1827,Fireflies in the Abyss,5.837068449242837,['Chandrasekhar Reddy'],"['Nishant Rai', 'Raj Rai', 'Suraj Subba']","['Documentary, Drama']"
1828,Pratighaat,5.837068449242837,['N. Chandra'],"['Sujata Mehta', 'Arvind Kumar', 'Charan Raj']","['Action, Crime, Drama']"
1829,Ekkees Toppon Ki Salaami,5.836857723952147,['Ravindra Gautam'],"['Anupam Kher', 'Neha Dhupia', 'Divyendu Sharma']",['Comedy']
1830,Chousar Firangi,5.836848443034141,['Sandeep Pandey'],"['Prateek Pachauri', 'Rekha Mishra', 'Anudeep Singh']","['Comedy, Drama']"
1831,Sara Akash,5.836824147211221,['Basu Chatterjee'],"['Madhu Chakravarty', 'Rakesh Pandey', 'Dina Pathak']",['Drama']
1832,Satyamev Jayate,5.8366251722638065,['Raj N. Sippy'],"['Vinod Khanna', 'Meenakshi Sheshadri', 'Madhavi']","['Action, Drama']"
1833,Pyar Jhukta Nahin,5.83660532683858,['Vijay Sadanah'],"['Mithun Chakraborty', 'Padmini Kolhapure', 'Danny Denzongpa']","['Family, Romance']"
1834,The Prince of Light,5.836553621779445,['Yûgô Sakô'],"['Bryan Cranston', 'Edie Mirman', 'Tom Wyner']","['Animation, Drama, Adventure']"
1835,Bulundi,5.8365523509353485,['Esmayeel Shroff'],"['Helen', 'Asha Parekh', 'Raaj Kumar']","['Action, Crime, Drama']"
1836,Babu,5.836532393049144,['A.C. Trilogchander'],"['Rajesh Khanna', 'Hema Malini', 'Mala Sinha']","['Drama, Family']"
1837,Love,5.836431611270201,['Suresh Krishna'],"['Salman Khan', 'Arun Bakshi', 'Rita Bhaduri']","['Drama, Musical, Romance']"
1838,The Threshold,5.836417748229182,['Pushan Kripalani'],"['Neena Gupta', 'Rajit Kapoor', 'Dhanendra Kawde']",['Drama']
1839,Dhanwan,5.836417748229182,['Surendra Mohan'],"['Rajesh Khanna', 'Reena Roy', 'Rakesh Roshan']","['Crime, Drama, Family']"
1840,The Lost Salesman of Delhi,5.836412373751906,['Deepak Mahajan'],"['Manoj Bakshi', 'Radha Bhatt', 'Preet Bhatti']","['Adventure, Drama, Mystery']"
1841,Doli,5.836403660505034,['Adurthi Subba Rao'],"['Rajesh Khanna', 'Babita Kapoor', 'Prem Chopra']","['Drama, Romance']"
1842,Prassthanam,5.836403027718983,['Deva Katta'],"['Sanjay Dutt', 'Jackie Shroff', 'Ali Fazal']","['Action, Drama']"
1843,Lakhon Me Ek,5.836353217193415,['S.S. Balan'],"['Mehmood', 'Pran', 'Ramesh Deo']","['Comedy, Drama']"
1844,Siddharth: The Prisoner,5.83632015176595,['Pryas Gupta'],"['Rajat Kapoor', 'Sachin Nayak', 'Pradip Sagar']","['Crime, Drama, Thriller']"
1845,Anpadh,5.83632015176595,['Mohan Kumar'],"['Mala Sinha', 'Balraj Sahni', 'Dharmendra']","['Drama, Musical, Romance']"
1846,Allah Ke Banday,5.836236560713522,['Faruk Kabir'],"['Varun Bhagwat', 'Virendra Giri', 'Vikram Gokhale']","['Action, Crime, Drama']"
1847,"Twisted Trunk, Big Fat Body",5.836194182446136,['Punarvasu Naik'],"['Vijay Maurya', 'Naman Jain', 'Usha Nadkarni']",['Comedy']
1848,Bullet,5.836194182446136,['Vijay Anand'],"['Dev Anand', 'Parveen Babi', 'Rakesh Roshan']","['Action, Crime, Thriller']"
1849,Be-Imaan,5.836194182446136,['Sohanlal Kanwar'],"['Manoj Kumar', 'Rakhee Gulzar', 'Nazima']","['Drama, Family']"
1850,Kondura (The Sage from the Sea),5.836184491478174,['Shyam Benegal'],"['Anant Nag', 'Nirmala', 'Siddesh']",['Drama']
1851,Mai,5.836097904360825,['Mahesh Kodiyal'],"['Asha Bhosle', 'Kshitee Jog', 'Shivani Joshi']","['Drama, Family']"
1852,Shriman Satyawadi,5.835995271152994,['S.M. Abbas'],"['Raj Kapoor', 'Shakila', 'Mehmood']","['Action, Crime, Drama']"
1853,Dilwale Dulhaniya Le Jayenge,5.83598291431123,"[""Rajendra Singh 'Atish'""]","['Beena Banerjee', 'Desh Gautam', 'Tariq Shah']",['Romance']
1854,Bunker,5.83596343746861,['Jugal Raja'],"['Abhijeet Singh', 'Arindita Kalita', 'Gaurav Gupta']","['Drama, War']"
1855,Bombay Rose,5.8358778637121596,['Gitanjali Rao'],"['Cyli Khare', 'Amit Deondi', 'Gargi Shitole']","['Animation, Drama, Romance']"
1856,Professor Pyarelal,5.835855329435244,['Brij'],"['Zeenat Aman', 'Master Bhagwan', 'Brahmachari']","['Action, Crime, Thriller']"
1857,Shriman Shrimati,5.835767791622646,['Vijay Reddy'],"['Sanjeev Kumar', 'Rakhee Gulzar', 'Rakesh Roshan']","['Comedy, Drama, Family']"
1858,Mati Manas,5.8357273177435784,['Mani Kaul'],"['Robin Das', 'Anita Kanwar', 'Ashok Sharma']","['Documentary, Drama']"
1859,Zindagi Ek Safar,5.835640731052354,['Sandip Ray'],"['Kishore Kumar', 'Amitabh Bachchan', 'Asha Bhosle']","['Documentary, Biography, Musical']"
